hour,minute,day,load,temp
15,11,1,8.2,44.1
15,11,1,10.5,45.25
15,11,1,10.2,45.1
15,11,1,42.4,61.2
15,11,1,35.0,57.5
15,11,1,36.3,58.15
15,12,1,36.8,58.4
15,12,1,35.7,57.85
15,12,1,41.2,60.6
15,12,1,41.8,60.9
15,12,1,11.6,45.8
15,12,1,3.7,41.85
15,13,1,2.5,41.25
15,13,1,4.2,42.1
15,13,1,2.3,41.15
15,13,1,6.5,43.25
15,13,1,10.3,45.15
15,13,1,3.6,41.8
15,13,1,6.0,43.0
15,13,1,5.3,42.65
15,13,1,3.2,41.6
15,13,1,2.4,41.2
15,14,1,2.1,41.05
15,14,1,1.4,40.7
15,14,1,2.9,41.45
15,14,1,3.3,41.65
15,14,1,3.3,41.65
15,14,1,1.5,40.75
15,14,1,7.3,43.65
15,14,1,4.5,42.25
15,14,1,2.1,41.05
15,15,1,2.2,41.1
15,15,1,2.8,41.4
15,15,1,4.0,42.0
15,15,1,2.6,41.3
15,15,1,5.1,42.55
15,15,1,1.9,40.95
15,15,1,5.0,42.5
15,15,1,2.8,41.4
15,15,1,2.1,41.05
15,16,1,7.0,43.5
15,16,1,2.7,41.35
15,16,1,3.7,41.85
15,16,1,4.1,42.05
15,16,1,2.9,41.45
15,16,1,3.3,41.65
15,16,1,4.0,42.0
15,16,1,4.7,42.35
15,16,1,2.5,41.25
15,17,1,3.2,41.6
15,17,1,2.5,41.25
15,17,1,3.2,41.6
15,17,1,11.6,45.8
15,17,1,10.6,45.3
15,17,1,6.4,43.2
15,17,1,6.7,43.35
15,17,1,7.9,43.95
15,17,1,18.9,49.45
15,18,1,4.5,42.25
15,18,1,9.7,44.85
15,18,1,5.6,42.8
15,18,1,9.2,44.6
15,18,1,6.1,43.05
15,18,1,23.4,51.7
15,18,1,8.8,44.4
15,18,1,100.0,90.0
15,18,1,54.3,67.15
15,19,1,40.5,60.25
15,19,1,12.1,46.05
15,19,1,9.6,44.8
15,19,1,18.0,49.0
15,19,1,14.4,47.2
15,19,1,10.8,45.4
15,19,1,11.0,45.5
15,19,1,11.9,45.95
15,19,1,5.8,42.9
15,20,1,3.5,41.75
15,20,1,5.1,42.55
15,20,1,10.2,45.1
15,20,1,11.2,45.6
15,20,1,12.9,46.45
15,20,1,20.4,50.2
15,20,1,14.3,47.15
15,20,1,5.3,42.65
15,21,1,5.0,42.5
15,21,1,3.4,41.7
15,21,1,6.4,43.2
15,21,1,10.1,45.05
15,21,1,4.2,42.1
15,21,1,10.5,45.25
15,21,1,4.6,42.3
15,21,1,3.6,41.8
15,21,1,11.6,45.8
15,21,1,2.7,41.35
15,22,1,3.0,41.5
15,22,1,3.8,41.9
15,22,1,1.8,40.9
15,22,1,6.3,43.15
15,22,1,3.8,41.9
15,22,1,2.0,41.0
15,22,1,2.0,41.0
15,22,1,3.0,41.5
15,22,1,11.5,45.75
15,23,1,3.8,41.9
15,23,1,10.3,45.15
15,23,1,3.9,41.95
15,23,1,1.3,40.65
15,23,1,5.2,42.6
15,23,1,4.0,42.0
15,23,1,3.0,41.5
15,23,1,4.1,42.05
15,23,1,12.1,46.05
15,23,1,7.1,43.55
15,24,1,9.8,44.9
15,24,1,20.9,50.45
15,24,1,12.7,46.35
15,24,1,13.6,46.8
15,24,1,8.0,44.0
15,24,1,12.7,46.35
15,24,1,14.3,47.15
15,24,1,20.9,50.45
15,25,1,10.7,45.35
15,25,1,14.5,47.25
15,25,1,15.9,47.95
15,25,1,11.4,45.7
15,25,1,28.5,54.25
15,25,1,22.2,51.1
15,25,1,39.9,59.95
15,25,1,9.4,44.7
15,26,1,24.3,52.15
15,26,1,9.5,44.75
15,26,1,14.5,47.25
15,26,1,9.8,44.9
15,26,1,18.5,49.25
15,26,1,7.8,43.9
15,26,1,18.6,49.3
15,27,1,20.5,50.25
15,27,1,22.9,51.45
15,27,1,11.2,45.6
15,27,1,11.4,45.7
15,27,1,14.7,47.35
15,27,1,17.0,48.5
15,27,1,13.8,46.9
15,27,1,13.4,46.7
15,27,1,33.7,56.85
15,28,1,12.5,46.25
15,28,1,9.4,44.7
15,28,1,17.5,48.75
15,28,1,10.9,45.45
15,28,1,4.3,42.15
15,28,1,5.8,42.9
15,28,1,4.3,42.15
15,28,1,7.5,43.75
15,28,1,8.9,44.45
15,28,1,9.2,44.6
15,28,1,4.8,42.4
15,28,1,8.5,44.25
15,28,1,4.0,42.0
15,28,1,5.7,42.85
15,28,1,18.8,49.4
15,28,1,4.2,42.1
15,28,1,5.1,42.55
15,29,1,8.5,44.25
15,29,1,7.0,43.5
15,29,1,4.9,42.45
15,29,1,12.3,46.15
15,29,1,4.2,42.1
15,29,1,5.4,42.7
15,29,1,3.6,41.8
15,29,1,8.6,44.3
15,29,1,3.3,41.65
15,29,1,6.1,43.05
15,29,1,7.8,43.9
15,29,1,4.8,42.4
15,29,1,4.6,42.3
15,29,1,5.7,42.85
15,29,1,4.0,42.0
15,29,1,7.0,43.5
15,29,1,13.8,46.9
15,30,1,4.6,42.3
15,30,1,6.7,43.35
15,30,1,3.9,41.95
15,30,1,8.9,44.45
15,30,1,5.0,42.5
15,30,1,4.7,42.35
15,30,1,10.6,45.3
15,30,1,15.6,47.8
15,30,1,4.2,42.1
15,30,1,5.0,42.5
15,30,1,7.2,43.6
15,30,1,5.9,42.95
15,30,1,11.4,45.7
15,30,1,6.3,43.15
15,30,1,4.8,42.4
15,30,1,7.6,43.8
15,30,1,5.6,42.8
15,31,1,11.4,45.7
15,31,1,7.7,43.85
15,31,1,8.6,44.3
15,31,1,9.6,44.8
15,31,1,6.6,43.3
15,31,1,4.8,42.4
15,31,1,12.9,46.45
15,31,1,8.4,44.2
15,31,1,13.8,46.9
15,31,1,9.9,44.95
15,31,1,8.6,44.3
15,31,1,6.8,43.4
15,31,1,12.6,46.3
15,31,1,10.6,45.3
15,32,1,8.6,44.3
15,32,1,14.3,47.15
15,32,1,3.6,41.8
15,32,1,6.1,43.05
15,32,1,12.7,46.35
15,32,1,10.2,45.1
15,32,1,18.2,49.1
15,32,1,18.3,49.15
15,32,1,7.4,43.7
15,32,1,7.4,43.7
15,32,1,6.2,43.1
15,32,1,6.5,43.25
15,32,1,11.5,45.75
15,32,1,11.4,45.7
15,32,1,5.9,42.95
15,32,1,13.5,46.75
15,33,1,7.6,43.8
15,33,1,6.6,43.3
15,33,1,9.9,44.95
15,33,1,11.0,45.5
15,33,1,5.7,42.85
15,33,1,16.0,48.0
15,33,1,9.0,44.5
15,33,1,8.9,44.45
15,33,1,11.3,45.65
15,33,1,8.6,44.3
15,33,1,10.1,45.05
15,33,1,12.3,46.15
15,33,1,8.3,44.15
15,33,1,9.6,44.8
15,33,1,8.5,44.25
15,34,1,4.6,42.3
15,34,1,15.5,47.75
15,34,1,6.3,43.15
15,34,1,5.8,42.9
15,34,1,6.2,43.1
15,34,1,20.0,50.0
15,34,1,10.8,45.4
15,34,1,5.1,42.55
15,34,1,6.2,43.1
15,34,1,11.6,45.8
15,34,1,13.6,46.8
15,34,1,8.2,44.1
15,34,1,9.9,44.95
15,34,1,18.5,49.25
15,34,1,6.6,43.3
15,35,1,11.2,45.6
15,35,1,11.5,45.75
15,35,1,13.3,46.65
15,35,1,5.8,42.9
15,35,1,9.3,44.65
15,35,1,12.1,46.05
15,35,1,17.9,48.95
15,35,1,9.3,44.65
15,35,1,8.9,44.45
15,35,1,12.6,46.3
15,35,1,12.9,46.45
15,35,1,6.9,43.45
15,35,1,8.1,44.05
15,35,1,7.1,43.55
15,35,1,9.4,44.7
15,36,1,11.2,45.6
15,36,1,17.7,48.85
15,36,1,8.6,44.3
15,36,1,6.7,43.35
15,36,1,16.7,48.35
15,36,1,9.3,44.65
15,36,1,9.2,44.6
15,36,1,9.2,44.6
15,36,1,6.2,43.1
15,36,1,11.6,45.8
15,36,1,10.8,45.4
15,36,1,5.7,42.85
15,36,1,7.4,43.7
15,36,1,10.9,45.45
15,36,1,5.0,42.5
15,36,1,7.6,43.8
15,37,1,15.7,47.85
15,37,1,15.1,47.55
15,37,1,13.3,46.65
15,37,1,6.0,43.0
15,37,1,7.2,43.6
15,37,1,10.0,45.0
15,37,1,18.6,49.3
15,37,1,12.6,46.3
15,37,1,21.1,50.55
15,37,1,7.7,43.85
15,37,1,15.0,47.5
15,37,1,29.8,54.9
15,37,1,18.6,49.3
15,37,1,39.9,59.95
15,38,1,23.4,51.7
15,38,1,7.0,43.5
15,38,1,20.3,50.15
15,38,1,6.2,43.1
15,38,1,13.0,46.5
15,38,1,23.9,51.95
15,38,1,10.6,45.3
15,38,1,28.2,54.1
15,38,1,18.5,49.25
15,38,1,24.6,52.3
15,38,1,13.6,46.8
15,38,1,9.1,44.55
15,38,1,12.9,46.45
15,38,1,11.2,45.6
15,39,1,25.3,52.65
15,39,1,8.8,44.4
15,39,1,7.7,43.85
15,39,1,7.6,43.8
15,39,1,12.8,46.4
15,39,1,11.8,45.9
15,39,1,14.1,47.05
15,39,1,17.2,48.6
15,39,1,5.3,42.65
15,39,1,6.8,43.4
15,39,1,4.6,42.3
15,39,1,8.9,44.45
15,39,1,19.9,49.95
15,39,1,5.9,42.95
15,40,1,6.2,43.1
15,40,1,12.6,46.3
15,40,1,8.2,44.1
15,40,1,7.8,43.9
15,40,1,4.8,42.4
15,40,1,4.6,42.3
15,40,1,12.5,46.25
15,40,1,8.2,44.1
15,40,1,15.8,47.9
15,40,1,10.3,45.15
15,40,1,4.4,42.2
15,40,1,14.5,47.25
15,40,1,7.0,43.5
15,41,1,12.3,46.15
15,41,1,11.5,45.75
15,41,1,4.7,42.35
15,41,1,9.1,44.55
15,41,1,4.7,42.35
15,41,1,11.5,45.75
15,41,1,6.1,43.05
15,41,1,5.6,42.8
15,41,1,16.3,48.15
15,41,1,6.9,43.45
15,41,1,9.3,44.65
15,41,1,8.6,44.3
15,41,1,10.3,45.15
15,42,1,18.8,49.4
15,42,1,6.5,43.25
15,42,1,8.6,44.3
15,42,1,12.9,46.45
15,42,1,8.0,44.0
15,42,1,44.6,62.3
15,42,1,9.1,44.55
15,42,1,5.5,42.75
15,42,1,7.8,43.9
15,42,1,14.8,47.4
15,42,1,12.7,46.35
15,42,1,22.4,51.2
15,42,1,8.6,44.3
15,42,1,8.7,44.35
15,42,1,20.6,50.3
15,43,1,7.1,43.55
15,43,1,6.5,43.25
15,43,1,10.4,45.2
15,43,1,10.4,45.2
15,43,1,11.8,45.9
15,43,1,13.3,46.65
15,43,1,4.1,42.05
15,43,1,17.1,48.55
15,43,1,12.7,46.35
15,43,1,7.2,43.6
15,43,1,6.6,43.3
15,43,1,21.9,50.95
15,43,1,6.5,43.25
15,43,1,10.2,45.1
15,44,1,7.1,43.55
15,44,1,7.3,43.65
15,44,1,14.5,47.25
15,44,1,17.5,48.75
15,44,1,7.2,43.6
15,44,1,11.7,45.85
15,44,1,8.9,44.45
15,44,1,9.2,44.6
15,44,1,14.7,47.35
15,44,1,17.7,48.85
15,44,1,6.6,43.3
15,44,1,7.0,43.5
15,44,1,13.1,46.55
15,44,1,13.7,46.85
15,44,1,10.5,45.25
15,44,1,7.1,43.55
15,45,1,10.7,45.35
15,45,1,9.7,44.85
15,45,1,5.7,42.85
15,45,1,7.2,43.6
15,45,1,13.3,46.65
15,45,1,6.9,43.45
15,45,1,15.7,47.85
15,45,1,20.4,50.2
15,45,1,7.0,43.5
15,45,1,8.6,44.3
15,45,1,6.5,43.25
15,45,1,3.5,41.75
15,45,1,5.3,42.65
15,45,1,11.8,45.9
15,45,1,10.7,45.35
15,46,1,26.2,53.1
15,46,1,10.0,45.0
15,46,1,6.0,43.0
15,46,1,6.4,43.2
15,46,1,9.2,44.6
15,46,1,4.2,42.1
15,46,1,10.1,45.05
15,46,1,9.3,44.65
15,46,1,9.8,44.9
15,46,1,21.1,50.55
15,46,1,15.1,47.55
15,46,1,25.0,52.5
21,33,1,5.4,42.7
21,33,1,9.6,44.8
21,34,1,6.7,43.35
21,34,1,6.3,43.15
21,34,1,7.8,43.9
21,34,1,9.2,44.6
21,34,1,17.2,48.6
21,39,1,9.5,44.75
21,40,1,6.2,43.1
21,40,1,12.2,46.1
21,40,1,8.4,44.2
21,40,1,8.1,44.05
21,40,1,16.4,48.2
21,40,1,16.3,48.15
21,40,1,15.1,47.55
21,40,1,30.5,55.25
21,41,1,13.1,46.55
21,41,1,8.3,44.15
21,41,1,16.5,48.25
21,41,1,8.8,44.4
21,41,1,11.8,45.9
21,41,1,6.4,43.2
21,42,1,8.1,44.05
21,42,1,6.6,43.3
21,42,1,6.4,43.2
21,42,1,9.6,44.8
21,42,1,11.9,45.95
21,42,1,6.4,43.2
21,42,1,6.4,43.2
21,43,1,10.1,45.05
21,43,1,9.1,44.55
21,43,1,9.5,44.75
21,43,1,8.0,44.0
21,43,1,13.2,46.6
21,44,1,6.2,43.1
21,44,1,11.1,45.55
21,44,1,5.8,42.9
21,44,1,6.4,43.2
21,44,1,14.2,47.1
21,44,1,12.0,46.0
21,44,1,14.9,47.45
21,45,1,14.3,47.15
21,45,1,11.2,45.6
21,45,1,17.1,48.55
21,55,1,17.8,48.9
21,55,1,13.8,46.9
21,55,1,13.4,46.7
21,55,1,12.1,46.05
21,55,1,12.9,46.45
21,56,1,15.5,47.75
21,56,1,13.5,46.75
21,57,1,12.1,46.05
21,57,1,10.7,45.35
21,57,1,14.1,47.05
21,57,1,11.8,45.9
22,1,1,22.2,51.1
22,1,1,13.7,46.85
22,1,1,15.2,47.6
22,1,1,10.2,45.1
22,1,1,14.6,47.3
22,1,1,13.9,46.95
22,2,1,18.0,49.0
22,2,1,19.9,49.95
